0.1 9.33 0.14 8.46 2.76 10.67 35.31 8.41 
0.17 29.88 2.12 3.44 9.81 44.16 5.43 22.93 
0.46	1.41	0.09	49.04	15.5	1.49	1.66	49.73	
0.02	1.93	0.1	  33.91	0.01	43.88	2.28	26.26	
0.11	0.36	0.73	17.39	0.74	7.11	19.67	24.54	
0.0	1.81	0.11	8.72	15.01	25.61	33.11	30.37	
0.01	35.34	
0.23	25.73	0.49	45.36	32.11	27.94	32.21	46.95	
0.02	20.97	0.86	20.77	2.76	18.42	9.48	18.93	
0.85	28.88	0.03	11.35	27.13	7.72	23.25	28.32	
0.07	95.06	2.44	28.33	32.17	23.44	46.25	16.86	
3.33	96.52	15.96	82.98	88.65	2.58	14.22	46.54	
0.04	95.73	0.23	97.65	94.37	44.12	55.34	75.18	
0.03	0.25	85.93	12.15	
0.11	28.23	0.06	60.64	4.84	96.74	87.25	14.37	
1.16	22.74	0.66	20.88	33.89	61.57	67.59	90.6	
0.04	59.2	0.22	4.06	16.11	76.96	65.81	93.88	
0.03	5.23	93.24	32.93	89.56	2.54	67.87	3.14	
0.02	11.85	79.73	5.38	79.2	65.74	8.36	21.19	
0.01	19.02	28.84	53.82	79.5	27.8	33.77	62.77	
0.16	12.89	4.95	2.96	37.64	7.93	14.18	78.02	
0.2	3.75	28.07	88.24	26.66	78.23	82.5	26.8	
0.04	8.12	0.09	11.64	78.46	45.8	69.41	66.32	
81.98	2.72	60.35	45.83	3.02	1.5	76.62	31.73	
64.89	28.14	92.73	42.08	75.68	11.72	48.25	20.22	
22.35	1.46	14.22	3.43	6.86	20.88	24.23	27.81	
14.02	24.75	28.07	0.18	4.82	6.1	20.96	3.81	
16.91	4.5	5.89	8.6	13.28	11.8	29.61	9.63	
10.35	2.23	1.13	28.24	5.45	20.2	16.61	29.25	
22.46	5.55	11.86	1.64	12.25	9.07	6.57	12.41	
20.43	2.44	12.85	9.18	4.2	13.21	16.18	25.03	
5.12	13.45	24.14	12.28	1.9	2.66	33.74	5.6	
26.01	37.99	8.22	15.22	89.34	14.17	76.8	75.07	
23.01	2.92	2.26	19.52	9.57	17.18	19.04	29.95	
20.35	5.76	20.6	25.37	13.77	27.94	4.94	4.26	
23.87	24.79	25.6	2.2	8.07	3.54	24.82	13.83	
28.99	3.3	26.98	9.15	3.62	16.14	6.08	21.22	
22.95	10.2	27.74	4.45	24.37	2.55	6.28	11.29	
23.48	6.42	17.99	10.86	18.4	10.81	9.82	8.62	
25.73	1.45	23.29	29.94	0.1	28.09	17.24	2.25	
28.86	10.75	14.68	14.98	25.28	28.24	22.88	10.03	
28.71	16.64	18.44	9.12	29.19	9.99	27.46	15.08	
13.79	2.61	9.92	5.97	4.5	17.23	14.04	13.89	
22.5	1.67	7.2	22.01	2.84	20.1	19.46	0.12	
23.14	6.97	27.47	26.22	12.73	19.58	19.38	7.64	
21.49	0.0	4.45	7.93	14.93	19.08	4.18	9.36	
9.7	2.4	5.29	19.28	6.26	21.41	25.99	216.78	
45.52	0.1	26.41	19.82	23.08	4.15	5.02	24.94	
31.66	4.52	1.3	12.24	8.49	1.83	1.07	26.98	9.04	
13.08	2.9	1.06	0.93	1.14	1.85	2.34	12.35	3.02	
11.62	3.32	0.03	2.11	5.32	0.91	5.1	1.98	7.53	
42.81	6.64	4.7	19.3	12.84	8.19	14.92	7.06	15.46	
19.97	6.37	0.01	8.68	5.13	3.45	5.02	6.9	4.72	
14.18	2.19	0.01	0.84	1.42	1.03	7.62	1.59	7.82	
48.0	21.15	0.3	28.61	38.81	35.21	40.99	30.39	31.83	
2.47	1.5	0.97	0.18	0.17	0.91	0.29	0.12	0.15	
24.47	1.77	20.81	14.81	1.01	0.96	21.91	25.7	
22.81	2.51	22.61	25.51	4.47	11.87	0.08	2.52	
21.21	1.38	21.26	16.29	1.33	17.95	27.27	15.85	
15.29	2.21	29.26	5.02	4.59	4.65	22.66	4.36	
29.97	0.07	0.19	13.06	29.56	10.77	20.39	0.11	
23.87	5.44	3.12	27.46	9.66	18.61	26.63	14.88	
19.41	0.01	21.01	19.73	16.39	9.85	29.94	1.31	
23.57	7.17	14.73	22.38	13.81	18.85	8.41	25.34	
0.2	0.0	20.25	19.84	1.25	25.23	12.68	15.23	
24.34	29.97	24.43	26.85	29.03	6.2	27.83	9.28	
22.21	27.04	22.97	26.08	27.42	0.06	22.5	9.74	
24.98	26.96	23.91	26.15	26.65	0.05	25.69	17.59	
17.66	16.18	15.38	28.13	22.87	6.17	20.61	1.38	
12.44	23.02	16.68	21.43	23.98	0.15	24.63	19.33	
36.86	7.25	7.45	23.29	13.68	4.19	7.44	35.3	
47.49	9.34	21.15	19.16	19.97	41.65	34.69	2.29	
30.48	0.01	8.35	3.89	5.06	35.52	6.79	42.94	
30.46	24.75	32.28	47.94	40.43	26.46	13.4	11.62	
46.72	0.41	8.0	6.86	2.16	27.66	12.22	42.36	19.86	44.87	
5.12	43.59	9.97	0.14	5.93	14.91	43.85	25.58	23.59	47.44	
29.68	0.08	34.4	12.9	5.32	42.01	33.72	20.9	48.19	48.42	# acche he ye wale scen 1
12.12	0.03	36.94	12.59	27.01	27.36	34.74	43.35	30.18	18.91	
5.62	10.47	3.86	6.1	11.42	18.94	8.08	6.05	49.97	8.86	
3.03	21.07	6.64	5.12	45.01	0.06	4.43	15.69	0.0	18.8	
40.86	0.01	38.14	31.77	41.19	1.69	11.55	43.99	27.12	1.26	
47.94	47.43	46.61	47.79	21.66	22.86	46.13	26.56	37.54	30.66	
48.35	43.55	42.85	44.56	35.39	5.7	47.57	31.58	41.69	49.39	
47.71	44.24	49.54	40.62	39.8	0.58	40.91	21.39	23.12	49.79	
41.56	42.62	43.75	47.79	39.42	24.0	34.03	13.12	11.78	45.11	
44.91	16.37	27.33	23.62	9.26	21.69	43.28	24.86	20.26	5.13	
7.05	0.18	24.48	11.59	41.91	31.41	13.19	12.95	19.85	48.87	
39.09	45.7	19.88	5.28	0.07	20.87	30.15	5.91	4.14	15.51	
8.34	28.83	44.85	18.97	21.33	27.26	40.67	7.4	3.2	40.33	
33.49	48.62	33.49	28.84	1.27	47.8	47.36	8.56	14.73	35.02	
48.07	0.96	14.46	47.97	39.37	2.19	20.41	1.32	27.56	48.9	
17.6	27.72	31.86	47.88	22.19	20.65	10.89	19.51	38.53	12.24	
35.77	4.53	10.63	29.3	0.73	38.1	22.29	7.82	0.64	2.36	
23.1	1.17	6.07	37.71	35.94	25.63	40.51	27.01	43.02	21.65	
26.06	45.35	2.45	47.76	32.23	28.18	5.08	38.98	39.69	31.21	
34.54	34.91	47.89	38.12	23.24	33.28	3.66	10.7	45.75	23.3	
21.73	33.27	49.76	38.83	24.67	15.49	13.3	43.69	13.91	16.05	
17.9	21.58	29.43	12.01	0.04	17.92	32.7	3.14	11.04	7.88	
39.87	34.28	31.88	14.17	21.5	27.74	1.98	36.37	0.13	31.65	
35.73	41.61	25.57	41.59	0.12	10.04	49.71	14.3	7.27	32.13	#these are good scen 2
23.45	9.11	24.35	26.59	42.81	19.49	15.58	37.85	0.02	6.46
47.09	45.17	7.26	18.77	0.09	11.28	47.27	16.29	11.24	47.71	
1.2	0.09	15.79	34.65	0.21	0.51	48.95	48.22	11.74	9.6	
6.63	20.36	41.37	29.1	19.07	25.0	33.79	43.01	28.39	35.72	
7.19	21.95	44.76	19.59	42.44	43.49	27.36	7.7	44.94	31.01	
26.0	16.35	5.9	20.27	47.77	1.23	25.42	44.36	21.7	31.08	
20.52	6.73	24.66	13.42	45.6	27.2	9.7	17.72	0.28	1.91	
20.13	33.26	39.77	42.93	48.95	44.6	25.96	30.94	14.88	42.81	
4.63	41.01	12.96	43.1	49.17	7.74	43.74	0.98	28.96	9.27	
21.71	5.12	5.06	11.9	19.53	12.7	4.76	43.19	46.85	39.55	
7.18	19.87	39.41	44.05	19.77	42.33	41.62	25.38	21.31	14.65	
21.08	9.41	41.44	24.36	31.02	14.64	30.08	25.48	39.84	39.81	
6.96	3.97	44.89	44.15	33.7	29.07	41.04	33.11	48.59	15.21	
47.58	1.74	1.26	20.89	17.15	45.54	30.73	18.27	0.16	25.38	
4.38	8.66	2.67	38.58	3.79	8.0	36.45	16.97	40.55	16.31	
45.79	7.92	27.66	38.93	17.67	7.96	47.84	2.08	21.85	24.32	
21.82	2.31	17.22	33.88	43.49	2.16	9.33	45.44	48.18	25.7	
30.29	20.16	23.41	37.4	49.53	20.11	25.1	22.79	38.45	12.13	
38.72	20.97	44.21	34.59	36.76	49.8	10.76	8.1	30.05	26.41	
46.56	2.85	33.96	8.45	39.06	0.35	13.82	25.96	14.15	20.61	
44.28	2.68	8.87	30.04	16.12	41.18	6.4	23.45	14.34	39.57	
49.09	0.11	43.62	3.43	33.6	29.76	30.82	0.01	44.52	7.09	
38.99	16.08	44.95	9.8	39.58	22.38	8.2	49.01	41.54	10.46	
35.73	41.61	25.57	41.59	0.12	10.04	49.71	14.3	7.27	32.13
45.0	31.48	43.9	3.11	0.36	23.62	22.68	30.41	1.18	4.51	 # these are very good for left turn
38.53	28.05	6.4	32.93	19.71	1.08	27.01	14.03	46.23	49.99	
17.05	48.75	19.15	20.88	9.01	6.05	40.84	17.99	2.9	49.72	
12.78	17.86	46.21	39.25	27.9	22.63	37.17	47.4	8.61	38.33	
34.68	49.87	18.74	36.17	0.52	33.74	49.99	3.84	47.34	47.02	
0.69	47.45	23.36	8.15	23.43	7.85	46.58	4.16	33.85	36.63	
3.94	21.34	18.66	2.76	0.05	8.37	1.28	17.04	13.89	16.06	
40.97	42.95	35.03	9.19	0.05	4.19	26.76	14.11	14.24	12.29	
